#,latitude,longitude,d_centre,accommodates,bathrooms,bedrooms,calculated_host_listings_count,guests_included,host_listings_count,minimum_nights,number_of_reviews,instant_bookable,room_type,price
9279,52.36014215,4.941863974,3.573343218,4,1,2,45,1,47,2,0,Possible,Entire home/apt,149
9567,52.34396111,4.859923341,4.744778391,2,1,1,45,1,47,2,8,Possible,Entire home/apt,89
9618,52.36721614,4.857579115,3.135648229,2,1,1,45,1,47,2,7,Possible,Entire home/apt,79
9911,52.35214153,4.917388332,3.243252629,2,1,1,45,1,47,2,8,Possible,Entire home/apt,79
10622,52.3635503,4.943975086,3.486196435,2,1,1,45,1,47,2,8,Possible,Entire home/apt,79
11936,52.35681614,4.937322458,3.576471072,2,1,1,45,1,47,2,10,Possible,Entire home/apt,79
11953,52.34875271,4.859454322,4.335714686,2,1.5,1,45,1,47,2,1,Possible,Entire home/apt,109
12080,52.3689904,4.852092541,3.405650623,4,1,1,45,1,47,2,4,Possible,Entire home/apt,139
13228,52.36270325,4.936206747,3.095450526,2,1,1,45,1,47,2,23,Possible,Entire home/apt,79
13233,52.35521353,4.890871749,2.726841624,2,1,1,45,1,47,2,24,Possible,Entire home/apt,99
13443,52.37483796,4.882902106,1.22108884,4,1,3,45,1,47,2,18,Possible,Entire home/apt,149
13522,52.38440305,4.880034163,1.437627533,4,1.5,2,45,1,47,2,13,Possible,Entire home/apt,139
13569,52.33563493,4.879195448,5.031023593,2,1,1,45,1,47,2,7,Possible,Entire home/apt,84
13660,52.35742439,4.929492906,3.163877432,4,1,2,45,1,47,2,7,Possible,Entire home/apt,89
13881,52.36508368,4.942063054,3.289801209,2,1,1,45,1,47,2,10,Possible,Entire home/apt,79
14083,52.35698615,4.887958178,2.587184357,2,1,1,45,1,47,2,8,Possible,Entire home/apt,69
14304,52.3670418,4.940499849,3.096028045,2,1,1,45,1,47,2,5,Possible,Entire home/apt,79
32,52.35471973,4.887827384,2.830845916,2,1,1,42,1,43,2,17,Not Possible,Entire home/apt,125
362,52.36379802,4.900078463,1.710888661,2,1,1,42,1,43,2,18,Not Possible,Entire home/apt,272
928,52.38351503,4.882351747,1.254286421,2,1,1,42,2,43,2,8,Not Possible,Entire home/apt,100
1301,52.34396944,4.861425274,4.687166887,2,1.5,1,42,1,43,2,14,Not Possible,Entire home/apt,99
1661,52.35287986,4.899326015,2.923614669,4,1.5,2,42,2,43,2,5,Not Possible,Entire home/apt,130
1844,52.36707293,4.875488589,2.109805946,2,1,1,42,2,43,3,49,Not Possible,Entire home/apt,110
2696,52.35488839,4.893239319,2.732893808,3,1,2,42,2,43,2,7,Not Possible,Entire home/apt,150
2886,52.37466432,4.873856318,1.806323722,4,2,2,42,2,43,2,20,Not Possible,Entire home/apt,145
2897,52.37018006,4.8637811,2.617548705,2,1,0,42,1,43,2,37,Not Possible,Entire home/apt,89
2923,52.36628372,4.879060302,1.99165037,2,1,1,42,1,43,2,63,Not Possible,Entire home/apt,120
3016,52.35396632,4.847569187,4.498845064,2,1,1,42,1,43,2,16,Not Possible,Entire home/apt,115
3288,52.3555314,4.899316004,2.628964631,4,1,2,42,2,43,2,14,Not Possible,Entire home/apt,200
3296,52.3741037,4.873661221,1.837245785,2,1,1,42,2,43,2,14,Not Possible,Entire home/apt,115
4269,52.36808966,4.878472145,1.882323528,4,1.5,2,42,2,43,2,33,Not Possible,Entire home/apt,140
4501,52.37588035,4.888178002,0.847299484,4,2.5,3,42,2,43,2,12,Not Possible,Entire home/apt,235
4758,52.36411984,4.987380266,6.197524612,4,1.5,4,42,2,43,2,6,Not Possible,Entire home/apt,140
5022,52.34771643,4.90176163,3.50096738,4,1,2,42,2,43,2,31,Not Possible,Entire home/apt,115
5235,52.37541246,4.879189084,1.43585624,4,1.5,2,42,2,43,2,15,Not Possible,Entire home/apt,170
6018,52.37561644,4.882836118,1.193701288,2,1,1,42,1,43,2,26,Not Possible,Entire home/apt,125
6363,52.36229467,4.860124603,3.2613789,2,1,1,42,1,43,2,9,Not Possible,Entire home/apt,85
7420,52.36506561,4.91051785,1.740404137,2,1,1,42,2,43,3,43,Not Possible,Entire home/apt,135
7995,52.3699803,4.933041432,2.499281851,4,1,1,42,2,43,2,5,Not Possible,Entire home/apt,99
8590,52.37869719,4.885463114,0.949083658,2,1,1,42,1,43,2,4,Not Possible,Entire home/apt,115
9211,52.3608528,4.890557237,2.124701279,2,1,1,42,1,43,2,32,Not Possible,Entire home/apt,110
10446,52.36039398,4.889725012,2.189959045,2,1,1,42,1,43,2,9,Not Possible,Entire home/apt,125
10516,52.37616454,4.898388198,0.343457056,2,1,1,42,1,43,3,30,Not Possible,Entire home/apt,122
11037,52.36591297,4.851403533,3.576830354,2,1,1,42,1,43,2,13,Not Possible,Entire home/apt,100
11502,52.40798357,4.933652215,3.952720024,4,1,2,42,2,43,4,2,Not Possible,Entire home/apt,85
12787,52.35591563,4.89596073,2.596952868,2,1,1,42,1,43,2,19,Not Possible,Entire home/apt,115
13398,52.38000913,4.883382879,1.092413269,4,1,2,42,2,43,2,19,Not Possible,Entire home/apt,110
14410,52.37330623,4.881897331,1.357270261,2,1,1,42,1,43,2,38,Not Possible,Entire home/apt,130
14623,52.37389772,4.867014347,2.276348814,2,1,1,42,1,43,2,10,Not Possible,Entire home/apt,100
14930,52.35648012,4.887497914,2.650240505,2,1,1,42,1,43,2,14,Not Possible,Entire home/apt,125
14994,52.38297027,4.873388756,1.815773107,2,1,1,42,1,43,3,10,Not Possible,Entire home/apt,140
5493,52.37715449,4.87700869,1.537750229,2,1,1,42,1,43,3,36,Not Possible,Private room,107
5616,52.35662679,4.897455758,2.510807955,4,1,2,42,2,43,2,71,Not Possible,Private room,120
7557,52.36380177,4.890154369,1.822062006,4,1.5,2,42,2,43,7,63,Not Possible,Private room,150
2417,52.35147536,4.856682689,4.230673485,4,1,2,42,2,43,3,3,Possible,Entire home/apt,95
4118,52.36240112,4.865089157,2.984829395,2,1,1,42,1,43,2,1,Possible,Entire home/apt,120
10133,52.3453458,4.905519374,3.783455651,2,1,1,42,1,43,3,5,Possible,Entire home/apt,100
13003,52.36150205,4.934403428,3.081115881,2,1,1,42,1,43,2,6,Possible,Entire home/apt,105
14587,52.3619174,4.853788067,3.643310796,4,1.5,2,42,2,43,2,13,Possible,Entire home/apt,150
692,52.35735493,4.903344136,2.440797354,2,1.5,1,38,1,43,2,5,Not Possible,Entire home/apt,79
1760,52.39473381,4.877717114,2.269976205,3,1,1,38,1,43,7,5,Not Possible,Entire home/apt,99
1799,52.34646192,4.901811578,3.640386753,4,1.5,3,38,1,43,2,16,Not Possible,Entire home/apt,149
2274,52.36209498,4.914193856,2.147471651,4,1.5,1,38,1,43,2,7,Not Possible,Entire home/apt,219
2960,52.35112569,4.89107368,3.169681088,4,1,1,38,1,43,2,36,Not Possible,Entire home/apt,129
3215,52.37826261,4.890480323,0.615835644,4,2,2,38,1,43,7,26,Not Possible,Entire home/apt,99
3712,52.36191325,4.902245788,1.929245036,2,1.5,1,38,1,43,2,9,Not Possible,Entire home/apt,159
4169,52.35645057,4.897792513,2.529254731,4,1.5,2,38,1,43,2,8,Not Possible,Entire home/apt,103
5645,52.35699788,4.907787488,2.530335403,4,1.5,3,38,1,43,2,2,Not Possible,Entire home/apt,109
6270,52.37294705,4.908347598,0.920343177,4,1,1,38,2,43,2,16,Not Possible,Entire home/apt,99
7218,52.35762145,4.898348314,2.397822178,3,1,1,38,1,43,2,3,Not Possible,Entire home/apt,129
7860,52.37156031,4.875349905,1.840525162,4,1.5,1,38,1,43,2,12,Not Possible,Entire home/apt,239
7913,52.36782078,4.852845625,3.403625567,2,1,1,38,1,43,2,1,Not Possible,Entire home/apt,149
7978,52.35817479,4.942554803,3.743596327,4,1,1,38,1,43,3,9,Not Possible,Entire home/apt,109
8574,52.35450192,4.92471874,3.235763576,4,1.5,2,38,2,43,2,5,Not Possible,Entire home/apt,89
8632,52.38079987,4.891463723,0.569320323,8,4,6,38,4,43,7,2,Not Possible,Entire home/apt,399
9291,52.36861479,4.851684663,3.445779557,2,1.5,1,38,1,43,3,1,Not Possible,Entire home/apt,109
9499,52.35344412,4.923307909,3.287802728,4,1,2,38,1,43,2,4,Not Possible,Entire home/apt,99
9786,52.36006085,4.932429339,3.087225117,4,1.5,1,38,1,43,2,7,Not Possible,Entire home/apt,119
10515,52.37079459,4.908910269,1.133016593,3,1,1,38,1,43,2,2,Not Possible,Entire home/apt,109
10759,52.39445942,4.877691891,2.24798381,2,1,1,38,1,43,7,5,Not Possible,Entire home/apt,99
10915,52.36359782,4.862511362,3.045677399,2,1,1,38,1,43,3,7,Not Possible,Entire home/apt,69
11504,52.3655107,4.899849105,1.520267336,4,1.5,4,38,1,43,2,10,Not Possible,Entire home/apt,199
11543,52.35262407,4.906516177,2.990923002,4,1.5,2,38,3,43,3,14,Not Possible,Entire home/apt,229
13129,52.37577789,4.872472678,1.867644674,4,1.5,2,38,1,43,2,17,Not Possible,Entire home/apt,189
14196,52.38073145,4.869738208,2.021438385,4,1,1,38,1,43,3,43,Not Possible,Entire home/apt,99
14297,52.36592884,4.925517066,2.302932595,4,1.5,2,38,1,43,2,10,Not Possible,Entire home/apt,239
3979,52.38154153,4.891971301,0.569552813,4,2.5,3,38,2,43,7,2,Possible,Entire home/apt,149
4274,52.38892546,4.881116471,1.647347758,2,1,1,38,1,43,2,3,Possible,Entire home/apt,179
5063,52.36705142,4.855030209,3.300497286,2,1,1,38,1,43,2,0,Possible,Entire home/apt,129
5534,52.37624253,4.892980236,0.546535439,4,1,2,38,1,43,2,8,Possible,Entire home/apt,179
6713,52.38052517,4.892668085,0.482182486,2,1,1,38,1,43,2,5,Possible,Entire home/apt,149
8232,52.33948509,4.917725158,4.583452941,2,1,0,38,1,43,3,1,Possible,Entire home/apt,84
8365,52.38260669,4.883008475,1.176932101,4,1.5,2,38,1,43,2,0,Possible,Entire home/apt,189
8869,52.34075939,4.919826957,4.489208656,4,1,0,38,1,43,3,27,Possible,Entire home/apt,149
10719,52.37939234,4.880427279,1.289301553,2,1,1,38,1,43,3,34,Possible,Entire home/apt,169
14059,52.37964853,4.890646336,0.598083587,4,2.5,3,38,2,43,7,2,Possible,Entire home/apt,149
14631,52.35932271,4.893707737,2.241536285,4,1.5,2,38,1,43,3,11,Possible,Entire home/apt,249
